"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Measuring the Impact of Code Dependencies on Software Architecture Recovery Techniques","T. Lutellier; D. Chollak; J. Garcia; L. Tan; D. Rayside; N. Medvidović; R. Kroeger","University of Waterloo, Waterloo, ON, Canada; University of Waterloo, Waterloo, ON, Canada; University of California, Irvine, CA; University of Waterloo, Waterloo, ON, Canada; University of Waterloo, Waterloo, ON, Canada; University of Southern California, Los Angeles, CA; Google Inc., Mountain View, CA","IEEE Transactions on Software Engineering","","2018","44","2","159","181","Many techniques have been proposed to automatically recover software architectures from software implementations. A thorough comparison among the recovery techniques is needed to understand their effectiveness and applicability. This study improves on previous studies in two ways. First, we study the impact of leveraging accurate symbol dependencies on the accuracy of architecture recovery techniques. In addition, we evaluate other factors of the input dependencies such as the level of granularity and the dynamic-bindings graph construction. Second, we recovered the architecture of a large system, Chromium, that was not available previously. Obtaining the ground-truth architecture of Chromium involved two years of collaboration with its developers. As part of this work, we developed a new submodule-based technique to recover preliminary versions of ground-truth architectures. The results of our evaluation of nine architecture recovery techniques and their variants suggest that (1) using accurate symbol dependencies has a major influence on recovery quality, and (2) more accurate recovery techniques are needed. Our results show that some of the studied architecture recovery techniques scale to very large systems, whereas others do not.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2017.2671865","Natural Sciences and Engineering Research Council of Canada; Google Faculty Research Award; Ontario Ministry of Research and Innovation; U.S. National Science Foundation; Infosys Technologies, Ltd.; ","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=7859416","Software architecture;empirical software engineering;maintenance and evolution;program comprehension","Computer architecture;Software architecture;Software;Heuristic algorithms;Chromium;Software algorithms;Manuals","software architecture;software quality;system recovery","symbol dependencies;accurate recovery techniques;recovery quality;submodule-based technique;ground-truth architecture;input dependencies;software implementations;software architectures;software architecture recovery techniques;code dependencies","","3","","72","","","","","","IEEE","IEEE Journals & Magazines"
"Incremental design of a power transformer station controller using a controller synthesis methodology","H. Marchand; M. Samaan","IRISA/INRIA, Rennes, France; NA","IEEE Transactions on Software Engineering","","2000","26","8","729","741","The authors describe the incremental specification of a power transformer station controller using a controller synthesis methodology. They specify the main requirements as simple properties, named control objectives, that the controlled plant has to satisfy. Then, using algebraic techniques, the controller is automatically derived from this set of control objectives. In our case, the plant is specified at a high level, using the data-flow synchronous SIGNAL language, and then by its logical abstraction, called polynomial dynamical system. The control objectives are specified as invariance, reachability, ...properties, as well as partial order relations to be checked by the plant. The control objectives equations are synthesized using algebraic transformations.","0098-5589;1939-3520;2326-3881","","10.1109/32.879811","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=879811","","Power transformers;Automatic control;Signal synthesis;Polynomials;Optimal control;Equations;Control system synthesis;Data structures;Boolean functions;Circuit faults","power transformers;power system control;parallel languages;control system synthesis","incremental design;power transformer station controller;controller synthesis methodology;incremental specification;simple properties;named control objectives;controlled plant;algebraic techniques;control objectives;high level specification;data-flow synchronous SIGNAL language;logical abstraction;polynomial dynamical system;invariance;reachability;partial order relations;control objectives equations;algebraic transformations","","20","","20","","","","","","IEEE","IEEE Journals & Magazines"
"Empirical data modeling in software engineering using radial basis functions","Miyoung Shin; A. L. Goel","Electron. & Telecommun. Res. Inst., Taejon, South Korea; NA","IEEE Transactions on Software Engineering","","2000","26","6","567","576","Many empirical studies in software engineering involve relationships between various process and product characteristics derived via linear regression analysis. We propose an alternative modeling approach using radial basis functions (RBFs) which provide a flexible way to generalize linear regression function. Further, RBF models possess strong mathematical properties of universal and best approximation. We present an objective modeling methodology for determining model parameters using our recent SG algorithm, followed by a model selection procedure based on generalization ability. Finally, we describe a detailed RBF modeling study for software effort estimation using a well-known NASA dataset.","0098-5589;1939-3520;2326-3881","","10.1109/32.852743","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=852743","","Software engineering;Linear regression;Data analysis;Mathematical model;NASA;Programming;Signal processing algorithms;Predictive models;Inspection;Computer aided software engineering","software development management;data models;radial basis function networks;statistical analysis","empirical data modeling;software engineering;radial basis functions;product characteristics;linear regression analysis;alternative modeling approach;linear regression function;RBF models;mathematical properties;best approximation;objective modeling methodology;model parameters;SG algorithm;model selection procedure;generalization ability;RBF modeling study;software effort estimation;NASA dataset","","66","","18","","","","","","IEEE","IEEE Journals & Magazines"
"Comments on ""Software process representation and analysis for framework instantiation","H. C. Jiau; Chia Hung Kao; Kuo-Feng Ssu","Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan; Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan; Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","IEEE Transactions on Software Engineering","","2004","30","10","707","","When studying [T.C. Oliveira et al. (2004)], we found an error and some ambiguous parts. In this paper, we state those errors.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2004.59","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1339280","","Redundancy","software process improvement","software process representation;framework instantiation;instantiation layer commands","","1","","1","","","","","","IEEE","IEEE Journals & Magazines"
"A transformation approach to derive efficient parallel implementations","T. Rauber; G. Runger","Inst. fur Inf., Univ. Halle-Wittenberg, Germany; NA","IEEE Transactions on Software Engineering","","2000","26","4","315","339","The construction of efficient parallel programs usually requires expert knowledge in the application area and a deep insight into the architecture of a specific parallel machine. Often, the resulting performance is not portable, i.e., a program that is efficient on one machine is not necessarily efficient on another machine with a different architecture. Transformation systems provide a more flexible solution. They start with a specification of the application problem and allow the generation of efficient programs for different parallel machines. The programmer has to give an exact specification of the algorithm expressing the inherent degree of parallelism and is released from the low-level details of the architecture. We propose such a transformation system with an emphasis on the exploitation of the data parallelism combined with a hierarchically organized structure of task parallelism. Starting with a specification of the maximum degree of task and data parallelism, the transformations generate a specification of a parallel program for a specific parallel machine. The transformations are based on a cost model and are applied in a predefined order, fixing the most important design decisions like the scheduling of independent multitask activations, data distributions, pipelining of tasks, and assignment of processors to task activations. We demonstrate the usefulness of the approach with examples from scientific computing.","0098-5589;1939-3520;2326-3881","","10.1109/32.844492","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=844492","","Parallel processing;Parallel machines;Programming profession;Microprocessors;Scientific computing;Message passing;Computer architecture;Costs;Processor scheduling;Pipeline processing","bibliographies;parallel programming;formal specification;parallel machines;message passing","transformation approach;parallel implementations;parallel program design;expert knowledge;application area;parallel machine;transformation systems;parallel machines;exact specification;data parallelism;hierarchically organized structure;task parallelism;cost model;predefined order;design decisions;independent multitask activations;data distributions;task pipelining;processor assignment;task activations;scientific computing","","18","","58","","","","","","IEEE","IEEE Journals & Magazines"
"On the Value of Ensemble Effort Estimation","E. Kocaguneli; T. Menzies; J. W. Keung","West Virginia University, Morgantown; West Virginia University, Morgantown; The Hong Kong Polytechnic University, Hong Kong","IEEE Transactions on Software Engineering","","2012","38","6","1403","1416","Background: Despite decades of research, there is no consensus on which software effort estimation methods produce the most accurate models. Aim: Prior work has reported that, given M estimation methods, no single method consistently outperforms all others. Perhaps rather than recommending one estimation method as best, it is wiser to generate estimates from ensembles of multiple estimation methods. Method: Nine learners were combined with 10 preprocessing options to generate 9 × 10 = 90 solo methods. These were applied to 20 datasets and evaluated using seven error measures. This identified the best n (in our case n = 13) solo methods that showed stable performance across multiple datasets and error measures. The top 2, 4, 8, and 13 solo methods were then combined to generate 12 multimethods, which were then compared to the solo methods. Results: 1) The top 10 (out of 12) multimethods significantly outperformed all 90 solo methods. 2) The error rates of the multimethods were significantly less than the solo methods. 3) The ranking of the best multimethod was remarkably stable. Conclusion: While there is no best single effort estimation method, there exist best combinations of such effort estimation methods.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2011.111","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=6081882","Software cost estimation;ensemble;machine learning;regression trees;support vector machines;neural nets;analogy;k-NN","Costs;Software performance;Measurement uncertainty;Taxonomy;Machine learning;Regression tree analysis;Support vector machines;Neural networks","software development management","ensemble effort estimation;software effort estimation;single method;multiple estimation method;error measures","","79","","82","","","","","","IEEE","IEEE Journals & Magazines"
"The effectiveness of control structure diagrams in source code comprehension activities","D. Hendrix; J. H. Cross; S. Maghsoodloo","Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA; Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA; NA","IEEE Transactions on Software Engineering","","2002","28","5","463","477","Recently, the first two in a series of planned comprehension experiments were performed to measure the effect of the control structure diagram (CSD) on program comprehensibility. Upper- and lower-division computer science and software engineering students were asked to respond to questions regarding the structure and execution of one source code module of a public domain graphics library. The time taken for each response and the correctness of each response was recorded. Statistical analysis of the data collected from these two experiments revealed that the CSD was highly significant in enhancing the subjects' performance in this program comprehension task. The results of these initial experiments promise to shed light on fundamental questions regarding the effect of software visualizations on program comprehensibility.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2002.1000450","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1000450","","Performance evaluation;Computer science;Software engineering;Computer graphics;Software libraries;Statistical analysis;Data visualization","diagrams;reverse engineering;program visualisation;program control structures","control structure diagrams;source code comprehension;experiments;program comprehensibility;computer science students;software engineering students;public domain graphics library;statistical analysis;data analysis;software visualizations","","19","","43","","","","","","IEEE","IEEE Journals & Magazines"
"Inference of message sequence charts","R. Alur; K. Etessami; M. Yannakakis","Dept. of Comput. & Inf. Sci., Pennsylvania Univ., Philadelphia, PA, USA; NA; NA","IEEE Transactions on Software Engineering","","2003","29","7","623","633","Software designers draw message sequence charts for early modeling of the individual behaviors they expect from the concurrent system under design. Can they be sure that precisely the behaviors they have described are realizable by some implementation of the components of the concurrent system? If so, can we automatically synthesize concurrent state machines realizing the given MSCs? If, on the other hand, other unspecified and possibly unwanted scenarios are ""implied"" by their MSCs, can the software designer be automatically warned and provided the implied MSCs? In this paper, we provide a framework in which all these questions are answered positively. We first describe the formal framework within which one can derive implied MSCs and then provide polynomial-time algorithms for implication, realizability, and synthesis.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2003.1214326","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1214326","","System recovery;Software design;Polynomials;Algorithm design and analysis;Automata;Formal verification;Unified modeling language;Pattern analysis;Timing;Pattern matching","formal verification;system recovery;program testing","message sequence charts;concurrent system;software designer;polynomial-time algorithms;deadlock freedom;concurrent state machines;formal verification;requirements analysis","","69","","25","","","","","","IEEE","IEEE Journals & Magazines"
"Model-Based Adaptation of Behavioral Mismatching Components","C. Canal; P. Poizat; G. Salaün","Universidad de Málaga, Málaga; INRIA, Rocquencourt; Universidad de Málaga, Málaga","IEEE Transactions on Software Engineering","","2008","34","4","546","563","Component-Based Software Engineering focuses on the reuse of existing software components. In practice, most components cannot be integrated directly into an application-to-be, because they are incompatible. Software Adaptation aims at generating, as automatically as possible, adaptors to compensate mismatch between component interfaces, and is therefore a promising solution for the development of a real market of components promoting software reuse. In this article, we present our approach for software adaptation which relies on an abstract notation based on synchronous vectors and transition systems for governing adaptation rules. Our proposal is supported by dedicated algorithms that generate automatically adaptor protocols. These algorithms have been implemented in a tool, called Adaptor, that can be used through a user-friendly graphical interface.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2008.31","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=4527252","Software Engineering;Requirements/Specifications;Design Tools and Techniques;Software Architectures;Interoperability;Interface definition languages;Software Construction;Software Engineering;Requirements/Specifications;Design Tools and Techniques;Software Architectures;Interoperability;Interface definition languages;Software Construction","Adaptation model;Irrigation;Protocols;Middleware;Software engineering;Proposals;Assembly systems;Software tools;Contracts;Petri nets","application program interfaces;object-oriented programming;software reusability","model-based software adaptation;behavioral mismatching software component;component-based software engineering;component interface;software reusability;abstract notation;synchronous vector;transition system;automatic adaptor protocol generation","","73","","63","","","","","","IEEE","IEEE Journals & Magazines"
"Diagnosing rediscovered software problems using symptoms","I. Lee; R. K. Iyer","Dept. of Electr. Eng., Hanyang Univ., Seoul, South Korea; NA","IEEE Transactions on Software Engineering","","2000","26","2","113","127","This paper presents an approach to automatically diagnosing rediscovered software failures using symptoms, in environments in which many users run the same procedural software system. The approach is based on the observation that the great majority of field software failures are rediscoveries of previously reported problems and that failures caused by the same defect often share common symptoms. Based on actual data, the paper develops a small software failure fingerprint, which consists of the procedure call trace, problem detection location, and the identification of the executing software. The paper demonstrates that over 60 percent of rediscoveries can be automatically diagnosed based on fingerprints; less than 10 percent of defects are misdiagnosed. The paper also discusses a pilot that implements the approach. Using the approach not only saves service resources by eliminating repeated data collection for and diagnosis of reoccurring problems, but it can also improve service response time for rediscoveries.","0098-5589;1939-3520;2326-3881","","10.1109/32.841113","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=841113","","Software systems;Fingerprint recognition;Databases;Computer Society;Delay;Software measurement;Operating systems;Computer crashes;Software testing;Costs","program diagnostics","symptoms;automatic rediscovered software failure diagnosis;procedural software system;software failure fingerprint;procedure call trace;problem detection location;executing software identification;service response time","","11","","20","","","","","","IEEE","IEEE Journals & Magazines"
